study_hours_per_day,prep_days_before_exam,attendance_percentage,internal_marks,internal_marks_weight,subject_difficulty,study_material_source,past_performance,self_study_or_coaching,motivation_level,doubt_resolution_time,exam_anxiety_level,final_exam_marks
0.4111261872455902,0.2,0.5860716952949963,0.6673346693386774,0.31460674157303375,3.0,2,0.573,0,4.0,0.9087269815852682,3.0,42.5
0.36092265943012214,0.6,0.9561239731142646,0.6869032182011081,0.35955056179775285,4.0,3,0.1077142857142857,0,3.0,0.18574859887910328,3.0,48.2
0.5318860244233378,0.5333333333333333,0.8058252427184465,0.6332665330661323,0.49438202247191015,3.0,0,0.11342857142857138,2,3.0,0.743795036028823,4.0,59.1
0.5061058344640433,0.022222222222222223,0.6708364451082898,0.4630437345278794,0.5617977528089887,4.0,3,0.5105714285714285,2,5.0,0.2610088070456365,3.0,46.3
0.26865671641791045,0.35555555555555557,0.8797610156833457,0.416715784510197,0.3707865168539326,3.0,1,0.5438571428571428,2,4.0,0.5100080064051241,3.0,55.7
0.4708276797829037,0.48888888888888893,0.8366318147871545,0.7833313686195922,0.5730337078651685,3.0153166421207658,2,0.42557142857142854,2,5.0,0.6020816653322658,4.0,69.2
0.9986431478968792,0.6666666666666667,0.11314413741598206,0.33360839325710245,0.651685393258427,4.0,0,0.542172480538607,2,3.0,0.0544435548438751,2.0,72.5
0.5373134328358209,0.4,0.7485063480209111,0.8963809972886949,0.8202247191011236,1.0,3,0.5645714285714285,0,5.0,0.800640512409928,2.0,88.5
0.7693351424694708,0.3111111111111111,0.498132935026139,0.761405163267712,0.8426966292134831,1.0,2,0.7137142857142855,0,4.0,0.22658126501200962,3.0,83.5
0.23066485753052915,0.13333333333333333,0.8172143390589992,0.4228456913827655,0.25842696629213485,3.0,2,0.4437142857142858,2,1.0,0.18975180144115292,4.0,32.7
0.4640434192672998,0.4378955981017837,0.6342419716206122,0.7160202758458093,0.550561797752809,4.0,2,0.7994285714285714,2,3.0,0.100080064051241,1.0,69.0
0.5712347354138398,0.0,0.8022778192681104,0.8697394789579158,0.6853932584269663,1.0,1,0.48799999999999993,0,5.0,0.6204963971176941,3.0,67.9
0.5549525101763907,0.4666666666666667,0.4479088872292758,0.5838736296121656,0.25842696629213485,4.0,3,0.37285714285714283,0,3.0,0.49799839871897517,4.0,45.4
0.5739484396200815,0.4,0.4342793129200897,0.8301308499351645,0.30337078651685395,4.0,3,0.7965714285714285,2,4.0,0.28582866293034426,5.0,57.0
0.5793758480325644,0.35555555555555557,0.8812546676624347,0.7324059884474832,0.5955056179775281,1.0,3,0.5551428571428572,0,4.0,0.5732586068855084,3.0,78.4
0.4654002713704206,0.11111111111111112,0.8689320388349515,0.8931981610279383,0.17977528089887646,3.0153166421207658,1,0.3911428571428572,1,3.0,0.3939151321056845,3.0,49.6
0.5685210312075984,0.4222222222222222,0.4113144137415983,0.6426971590239302,0.16853932584269665,2.0,2,0.3812857142857143,2,3.0,0.5604483586869495,4.0,43.2
0.47737633961668424,0.0,0.5642270351008214,0.6226570788636095,0.0,1.0,0,0.2624285714285714,2,4.0,0.6116893514811849,1.0,40.0
0.5576662143826323,0.4666666666666667,0.6056758775205375,0.590946599080514,0.2471910112359551,1.0,3,0.6180000000000001,1,2.0,0.40912730184147317,3.0,51.9
0.8521031207598372,0.6888888888888889,0.7556011949215833,0.8537074148296593,0.49438202247191015,3.0,2,0.5505714285714287,0,3.0,0.45876701361088873,2.0,74.6
0.4925373134328358,0.37777777777777777,0.5883121732636296,0.8581869621596134,0.2359550561797753,2.0,0,0.542172480538607,1,5.0,0.7157726180944756,1.0,55.9
0.6567164179104477,0.022222222222222223,0.7959297983569826,0.6715784510196865,0.1348314606741573,3.0,2,0.8745714285714286,0,3.0,0.6525220176140912,2.0,51.2
0.14654002713704206,0.0,0.7449589245705752,0.733820582341153,0.8764044943820225,3.0,0,0.544,0,2.0,0.39471577261809443,4.0,52.5
0.666214382632293,0.13333333333333333,0.6715832710978342,0.7863963220558764,0.47191011235955066,3.0,2,0.45428571428571424,2,2.0,0.4339471577261809,1.0,60.3
0.4504748982360922,0.0,0.8364451082897684,0.7576329128845927,0.2471910112359551,4.0,2,0.5098571428571428,0,4.0,0.77822257806245,4.0,43.6
0.40705563093622793,0.5777777777777778,0.7953696788648246,0.6440779853044043,0.6179775280898877,3.0,0,0.542172480538607,2,3.0,0.7021617293835067,5.0,62.3
0.5440976933514247,0.5777777777777778,0.7628827483196414,0.6274902746669812,0.3370786516853933,2.0,2,0.08328571428571424,2,4.0,0.46277021617293834,1.0,53.8
